step,reward,success,max_task,mode
4,-32.61041415821447,0,0.0,train
18,-48.90948614226288,0,0.0,train
23,-70.06088914594027,0,0.0,train
27,-73.89856913319643,0,0.0,train
32,-63.98333473273413,0,0.0,train
36,-66.11759955722619,0,0.0,train
40,-67.05648643339391,0,0.0,train
46,-54.062856908911606,0,0.0,train
50,-58.45939011737271,0,0.0,train
56,-50.78219361912245,0,0.0,train
61,-57.065561747983985,0,0.0,train
68,-73.20782027185429,0,0.0,train
73,-70.75404919920436,0,0.0,train
78,-85.88493442006981,0,0.0,train
82,-50.58036725927184,0,0.0,train
87,-78.21085669335808,0,0.0,train
90,-57.94409623704077,0,0.0,train
102,16.352922231004413,0,0.0,train
107,-122.97632889215423,0,0.0,train
111,-65.59118770351456,0,0.0,train
115,-57.165622325059886,0,0.0,train
131,19.27138975665705,0,0.0,train
137,-129.1230591040552,0,0.0,train
141,-56.44477778189516,0,0.0,train
168,-49.98226209747068,0,0.0,train
173,-49.64130466653854,0,0.0,train
178,-62.237044127348696,0,0.0,train
182,-67.49387184395968,0,0.0,train
187,-44.70427713232041,0,0.0,train
191,-83.38269287328391,0,0.0,train
198,-65.79770688778345,0,0.0,train
209,-48.14652901081071,0,0.0,train
214,-64.95877248827324,0,0.0,train
220,-78.1340783222318,0,0.0,train
223,-66.70415186291754,0,0.0,train
224,-49.270112001178305,0,0.0,train
230,-23.871019867157536,0,0.0,train
235,-76.51652168014371,0,0.0,train
239,-77.58435178199309,0,0.0,train
259,15.821881261785066,0,0.0,train
270,-114.3905381947495,0,0.0,train
281,-33.65533630941786,0,0.0,train
285,-103.08092751115444,0,0.0,train
289,-53.660276702836654,0,0.0,train
303,-12.262168155350736,0,0.0,train
307,-127.65128502124347,0,0.0,train
312,-63.05371583878398,0,0.0,train
318,-47.66439261061686,0,0.0,train
321,-74.44469267639035,0,0.0,train
326,-45.5857998906909,0,0.0,train
330,-70.4976558019996,0,0.0,train
334,-66.87454070253509,0,0.0,train
338,-67.69845239382747,0,0.0,train
349,-38.78126154123764,0,0.0,train
355,-81.92454494384782,0,0.0,train
362,-34.51873310189048,0,0.0,train
369,-67.26035151905445,0,0.0,train
374,-82.97201143888603,0,0.0,train
380,-61.291160457119425,0,0.0,train
385,-65.5890478931811,0,0.0,train
389,-72.30259481724886,0,0.0,train
394,-60.74121799297382,0,0.0,train
398,-72.5782112164577,0,0.0,train
417,-20.690376593338954,0,0.0,train
421,-88.30429306710762,0,0.0,train
427,-55.75458225492802,0,0.0,train
437,-25.34156849816098,0,0.0,train
463,-19.240306983135348,0,0.0,train
467,-123.04578138850928,0,0.0,train
473,-53.82961795574714,0,0.0,train
479,-49.286179920231156,0,0.0,train
484,-62.73065140971542,0,0.0,train
488,-65.92976691958629,0,0.0,train
493,-70.72216821809698,0,0.0,train
501,-50.79600849213065,0,0.0,train
522,-30.85895599140069,0,0.0,train
525,-106.23704219272322,0,0.0,train
528,-54.43384761685753,0,0.0,train
546,5.997702875655591,0,0.0,train
552,-132.4885216327822,0,0.0,train
556,-50.77904017562951,0,0.0,train
560,-61.63459157968492,0,0.0,train
564,-65.02711961234616,0,0.0,train
568,-67.84707542222833,0,0.0,train
576,-58.85485915233146,0,0.0,train
581,-60.13604688901992,0,0.0,train
585,-59.21271239665678,0,0.0,train
591,-60.94654433170262,0,0.0,train
596,-62.86212559443898,0,0.0,train
621,-8.025106358385322,0,0.0,train
633,-91.63287700325489,0,0.0,train
649,-48.264075565021265,0,0.0,train
664,-57.456682286909164,0,0.0,train
677,-63.82731089118662,0,0.0,train
698,-107.01714301131972,0,0.0,train
711,-25.93662030065914,0,0.0,train
734,9.399215162643785,0,0.0,train
740,-129.87903183213018,0,0.0,train
744,-72.75349108823674,0,0.0,train
752,-32.87313866128933,0,0.0,train
758,-73.75803329164489,0,0.0,train
761,-77.59852087983393,0,0.0,train
766,-44.028786757727254,0,0.0,train
768,-44.56947732149905,0,0.0,train
772,-24.125184956025564,0,0.0,train
776,-74.69706313591595,0,0.0,train
781,-61.46774152268735,0,0.0,train
786,-49.36023066176596,0,0.0,train
803,-4.641334477162744,0,0.0,train
813,-70.48307328607581,0,0.0,train
820,-107.49862144096073,0,0.0,train
826,-59.18073771388119,0,0.0,train
846,5.535638790377924,0,0.0,train
850,-129.45842593003502,0,0.0,train
854,-55.91831196024661,0,0.0,train
862,-54.67289429825792,0,0.0,train
869,-59.0601596001805,0,0.0,train
877,-34.31359993671039,0,0.0,train
882,-80.60115521986638,0,0.0,train
887,-48.78065393941715,0,0.0,train
894,-43.569231168942785,0,0.0,train
898,-96.0545733198773,0,0.0,train
902,-51.85066251693424,0,0.0,train
906,-63.72309337852238,0,0.0,train
911,-79.37009614754169,0,0.0,train
916,-67.1115685124112,0,0.0,train
922,-41.00303738661077,0,0.0,train
928,-82.48745303798003,0,0.0,train
931,-76.78905295035665,0,0.0,train
936,-58.797606903186235,0,0.0,train
940,-86.29639214354381,0,0.0,train
944,-71.56703797191425,0,0.0,train
948,-62.577346564119225,0,0.0,train
952,-67.91908382749041,0,0.0,train
957,-43.9631193781834,0,0.0,train
981,-21.320496198603333,0,0.0,train
985,-102.60793014818563,0,0.0,train
991,-56.50401758938163,0,0.0,train
995,-77.11876966204622,0,0.0,train
1000,-58.64544135104794,0,0.0,train
1004,-31.23366274096948,0,0.0,train
1009,-62.811916447684986,0,0.0,train
1014,-59.54928274018167,0,0.0,train
1026,-40.40680664133512,0,0.0,train
1030,-82.38878381139995,0,0.0,train
1036,-57.92812301773965,0,0.0,train
1041,-72.23599097058813,0,0.0,train
1052,-25.025794513218326,0,0.0,train
1055,-114.44367750436442,0,0.0,train
1076,-35.31195564880478,0,0.0,train
1081,-50.051607437060724,0,0.0,train
1085,-77.49170777616501,0,0.0,train
1089,-66.9875962945334,0,0.0,train
1092,-62.3288410044347,0,0.0,train
1096,-65.97034256005875,0,0.0,train
1103,-67.60215041429363,0,0.0,train
1107,-75.23563836109594,0,0.0,train
1126,-24.801248035343896,0,0.0,train
1139,-67.6152238987585,0,0.0,train
1142,-82.61944773814986,0,0.0,train
1148,-73.3864218759798,0,0.0,train
1154,-40.16377384600227,0,0.0,train
1159,-64.09739401941036,0,0.0,train
1162,-76.92775340254167,0,0.0,train
1167,-67.45071702972598,0,0.0,train
1178,-28.140566087070095,0,0.0,train
1196,-6.2079159235818935,0,0.0,train
1200,-126.35974203534387,0,0.0,train
1206,-70.38703233577212,0,0.0,train
1211,-59.65456118542067,0,0.0,train
1215,-80.045916887628,0,0.0,train
1219,-49.56487839752654,0,0.0,train
1243,25.420907072689914,0,0.0,train
1264,-36.26733160699131,0,0.0,train
1269,-126.15814633814274,0,0.0,train
1274,-74.96696665320144,0,0.0,train
1277,-67.47293065503267,0,0.0,train
1282,-40.69791221092876,0,0.0,train
1286,-81.36902636942963,0,0.0,train
1290,-72.80835801605917,0,0.0,train
1295,-70.28724354901036,0,0.0,train
1300,-60.59100635479286,0,0.0,train
1304,-58.34091545962278,0,0.0,train
1316,-44.38676888615704,0,0.0,train
1329,5.016207531877498,0,0.0,train
1335,-87.60313647951781,0,0.0,train
1339,-75.55101258817979,0,0.0,train
1342,-62.928466512484874,0,0.0,train
1361,15.981518834458647,0,0.0,train
1366,-107.2136297927982,0,0.0,train
1371,-74.45611459192034,0,0.0,train
1374,-79.69671144229909,0,0.0,train
1379,-59.18176936592754,0,0.0,train
1385,-52.858963009788994,0,0.0,train
1390,-73.68101130526324,0,0.0,train
1407,-0.18227024473205233,0,0.0,train
1412,-118.38090854957296,0,0.0,train
1417,-59.405869645048575,0,0.0,train
1421,-78.19361434465591,0,0.0,train
1427,-63.26701392987122,0,0.0,train
1431,-74.16798869023899,0,0.0,train
1436,-52.958364798425265,0,0.0,train
1437,-48.79358496664051,0,0.0,train
1441,-40.827923944137154,0,0.0,train
1444,-68.81915288952858,0,0.0,train
1458,12.173254720005986,0,0.0,train
1461,-102.71892274439656,0,0.0,train
1483,32.191214380565626,0,0.0,train
1487,-130.01322781899057,0,0.0,train
1490,-51.521666666767345,0,0.0,train
1511,-18.83192145525102,0,0.0,train
1516,-123.71902398845995,0,0.0,train
1521,-60.79743530960478,0,0.0,train
1527,-67.19182004613549,0,0.0,train
1532,-57.75730767796136,0,0.0,train
1543,-13.64694359115932,0,0.0,train
1547,-94.46572484273419,0,0.0,train
1553,-54.21417130400313,0,0.0,train
1573,19.57797543597416,0,0.0,train
1579,-122.61367430139316,0,0.0,train
1585,-69.11147055183466,0,0.0,train
1589,-73.33488139466527,0,0.0,train
1608,11.435696239286564,0,0.0,train
1612,-133.10197658247694,0,0.0,train
1618,-57.376137086658055,0,0.0,train
1623,-81.28990534470549,0,0.0,train
1626,-85.88840953207341,0,0.0,train
1630,-55.62836822155531,0,0.0,train
1634,-68.22020373842453,0,0.0,train
1639,-51.931791037847304,0,0.0,train
1643,-72.4304308194167,0,0.0,train
1649,-45.744220095681584,0,0.0,train
1653,-72.6968466142922,0,0.0,train
1657,-72.31124645461492,0,0.0,train
1661,-81.30702947299255,0,0.0,train
1666,-66.64946680346247,0,0.0,train
1671,-64.6488146099635,0,0.0,train
1677,-46.11910022566576,0,0.0,train
1681,-87.84087614644916,0,0.0,train
1716,-55.51346537626332,0,0.0,train
1720,-50.63334929514995,0,0.0,train
1724,-49.885652813497806,0,0.0,train
1728,-35.03936282114666,0,0.0,train
1738,-37.893654779328735,0,0.0,train
1741,-66.37252294425096,0,0.0,train
1744,-48.259593365143935,0,0.0,train
1749,-46.00152253693884,0,0.0,train
1752,-41.19892678806829,0,0.0,train
1756,-54.8792393533334,0,0.0,train
1761,-46.889372248886886,0,0.0,train
1764,-47.86887864358256,0,0.0,train
1768,-44.073192652123055,0,0.0,train
1775,-19.001152938069193,0,0.0,train
1778,-66.62212086090648,0,0.0,train
1782,-40.78607484510584,0,0.0,train
1786,-44.76054733654514,0,0.0,train
1789,-41.019008550294416,0,0.0,train
1793,-37.89003961474135,0,0.0,train
1797,-44.25255297067886,0,0.0,train
1800,-48.743049213075494,0,0.0,train
1811,-7.785929218696452,0,0.0,train
1816,-70.00092499062197,0,0.0,train
1820,-57.43663382500667,0,0.0,train
1823,-76.26481265335323,0,0.0,train
1829,-39.86198069009702,0,0.0,train
1832,-85.24156117365649,0,0.0,train
1851,19.990821831046098,0,0.0,train
1854,-139.69714268858667,0,0.0,train
1858,-55.18622241434742,0,0.0,train
1862,-34.43218742988134,0,0.0,train
1867,-40.957824879098865,0,0.0,train
1873,-54.90401834754211,0,0.0,train
1876,-34.394187380283824,0,0.0,train
1879,-48.072171872204606,0,0.0,train
1884,-44.243791084374536,0,0.0,train
1888,-35.44324304518815,0,0.0,train
1895,-31.71814883312222,0,0.0,train
1899,-94.07716762845737,0,0.0,train
1906,-39.30908553414126,0,0.0,train
1910,-54.459445413467414,0,0.0,train
1917,-58.89521146571017,0,0.0,train
1922,-73.36411073745296,0,0.0,train
1928,-71.83985000656678,0,0.0,train
1934,-67.48621817877566,0,0.0,train
1940,-62.11275259226439,0,0.0,train
1946,-66.21649678958892,0,0.0,train
1950,-76.56826917499748,0,0.0,train
1954,-65.97831705431973,0,0.0,train
1959,-57.83176871374341,0,0.0,train
1974,2.5390055207305053,0,0.0,train
1979,-119.32152834735405,0,0.0,train
1985,-60.27639429867703,0,0.0,train
1996,-39.84030188755167,0,0.0,train
2011,-8.096181481552662,0,0.0,train
2015,-137.06689285640334,0,0.0,train
2020,-68.86986185378927,0,0.0,train
2026,-58.26756001117152,0,0.0,train
2032,-62.74495809374979,0,0.0,train
2036,-74.3915956526989,0,0.0,train
2041,-53.66114861650917,0,0.0,train
2046,-67.51457492811568,0,0.0,train
2052,-64.93202003200619,0,0.0,train
2057,-67.50562022924336,0,0.0,train
2064,-55.198760190449995,0,0.0,train
2070,-60.42277086817938,0,0.0,train
2074,-89.08618478904218,0,0.0,train
2082,-46.11811397629566,0,0.0,train
2098,-36.553531317824934,0,0.0,train
2115,15.688717037752959,0,0.0,train
2119,-163.7098995136935,0,0.0,train
2123,-61.81876016087198,0,0.0,train
2128,-85.22175408763684,0,0.0,train
2133,-59.336078125142976,0,0.0,train
2138,-86.6427225724671,0,0.0,train
2143,-53.28424648611417,0,0.0,train
2147,-64.2998146608105,0,0.0,train
2151,-72.35667177119767,0,0.0,train
2163,-25.842483623477868,0,0.0,train
2168,-79.57585458549212,0,0.0,train
2172,-80.13957266199932,0,0.0,train
2178,-38.883321263587,0,0.0,train
2184,-50.766784125045945,0,0.0,train
2191,-73.7583733612938,0,0.0,train
2205,-48.43343008134187,0,0.0,train
2210,-86.90090212434234,0,0.0,train
2217,-48.237315573928676,0,0.0,train
2225,-68.878210738706,0,0.0,train
2248,10.63603296787732,0,0.0,train
2266,-50.59527536407694,0,0.0,train
2270,-136.28559312498805,0,0.0,train
2286,-2.6774663856715506,0,0.0,train
2303,-48.73780251229802,0,0.0,train
2309,-123.72708550279327,0,0.0,train
2313,-64.9740987520789,0,0.0,train
2318,-71.19982571536494,0,0.0,train
2325,-49.97150422829087,0,0.0,train
2330,-74.4132571067017,0,0.0,train
2333,-71.48649962797012,0,0.0,train
2344,-23.16960094421149,0,0.0,train
2348,-89.32878589346085,0,0.0,train
2351,-42.80644564262076,0,0.0,train
2354,-72.07723376617861,0,0.0,train
2361,-54.78613156398874,0,0.0,train
2367,-72.73786936555742,0,0.0,train
2374,-62.20563334336831,0,0.0,train
2379,-72.32573622786532,0,0.0,train
2383,-80.79103494943172,0,0.0,train
2387,-69.62949141002991,0,0.0,train
2395,-59.79961745836345,0,0.0,train
2407,-12.325040272816409,0,0.0,train
2413,-63.68498225983958,0,0.0,train
2418,-65.1891892774367,0,0.0,train
2436,4.840957607988685,0,0.0,train
2439,-146.05508340669238,0,0.0,train
2442,-54.5308689135652,0,0.0,train
2455,3.0679053882369445,0,0.0,train
2461,-126.69545130470877,0,0.0,train
2465,-57.61071783826384,0,0.0,train
2470,-50.90747786378229,0,0.0,train
2476,-66.64254892619387,0,0.0,train
2480,-77.82034880733676,0,0.0,train
2486,-52.24663008828834,0,0.0,train
2490,-67.22469293155349,0,0.0,train
2494,-65.1934995957557,0,0.0,train
2498,-51.614285363427705,0,0.0,train
2506,-51.07559547184425,0,0.0,train
2535,12.462256647826052,0,0.0,train
2539,-121.12593213600096,0,0.0,train
2543,-83.9561709378537,0,0.0,train
2547,-54.959608144859736,0,0.0,train
2558,-17.571288123192843,0,0.0,train
2563,-122.00429884768748,0,0.0,train
2567,-67.80224044420598,0,0.0,train
2577,-29.426632329164544,0,0.0,train
2581,-79.47755392449352,0,0.0,train
2584,-61.07431912433813,0,0.0,train
2587,-66.49277402117966,0,0.0,train
2602,-5.813535391670257,0,0.0,train
2607,-98.88893493039387,0,0.0,train
2623,30.04627503277117,0,0.0,train
2629,-92.86004717337403,0,0.0,train
2634,-63.29284396069508,0,0.0,train
2640,-51.625746810043736,0,0.0,train
2646,-67.73209126936379,0,0.0,train
2649,-67.33797951774602,0,0.0,train
2655,-39.17290157177051,0,0.0,train
2659,-77.12995239084589,0,0.0,train
2670,-21.68083932002567,0,0.0,train
2675,-88.18208553569248,0,0.0,train
2680,-77.0203899462606,0,0.0,train
2685,-65.30041417036742,0,0.0,train
2695,-43.762092381871796,0,0.0,train
2711,-3.3624583794484977,0,0.0,train
2715,-138.8243939268468,0,0.0,train
2720,-41.95975251201956,0,0.0,train
2724,-83.46691164485938,0,0.0,train
2728,-55.72282462403693,0,0.0,train
2733,-70.14315626247175,0,0.0,train
2739,-53.847387070740794,0,0.0,train
2743,-74.07434448414222,0,0.0,train
2746,-42.72079850836432,0,0.0,train
2750,-69.98997169895122,0,0.0,train
2753,-61.84770392097974,0,0.0,train
2769,-8.380152041689556,0,0.0,train
2775,-111.36881572828506,0,0.0,train
2778,-66.02474491129678,0,0.0,train
2782,-61.02482763760304,0,0.0,train
2786,-69.97001667883913,0,0.0,train
2792,-45.04806123721209,0,0.0,train
2799,-60.511664549933165,0,0.0,train
2804,-88.61085421946882,0,0.0,train
2818,-8.054305284513049,0,0.0,train
2822,-99.90655476267045,0,0.0,train
2827,-55.65661361657226,0,0.0,train
2832,-69.34901939023521,0,0.0,train
2839,-54.848323912280506,0,0.0,train
2844,-76.26734451590409,0,0.0,train
2847,-80.48716069321142,0,0.0,train
2853,-56.20276397965678,0,0.0,train
2862,-52.05266502581835,0,0.0,train
2866,-78.59702345061645,0,0.0,train
2870,-66.50117829739769,0,0.0,train
2875,-54.57276457656613,0,0.0,train
2879,-72.0935901673831,0,0.0,train
2883,-51.06806584918159,0,0.0,train
2889,-65.08885199954301,0,0.0,train
2893,-82.55329295320695,0,0.0,train
2898,-50.04990371289768,0,0.0,train
2901,-84.14005072079402,0,0.0,train
2929,0.7970232876777956,0,0.0,train
2935,-113.09425111422075,0,0.0,train
2943,-41.06592243634639,0,0.0,train
2947,-86.01906836977585,0,0.0,train
2953,-58.52138118302939,0,0.0,train
2958,-70.40773964549925,0,0.0,train
2964,-23.20463687164164,0,0.0,train
2965,-51.47617985555569,0,0.0,train
2968,-37.40378698377357,0,0.0,train
2972,-36.93146642338828,0,0.0,train
2976,-48.43644180808769,0,0.0,train
2980,-36.23223338208334,0,0.0,train
2984,-46.284404177089385,0,0.0,train
2987,-45.988718289235045,0,0.0,train
2991,-46.463506664065484,0,0.0,train
2995,-40.890224919015715,0,0.0,train
2999,-40.618472117818754,0,0.0,train
3002,-47.06885117416803,0,0.0,train
3006,-47.61086416714125,0,0.0,train
3009,-38.89021502848331,0,0.0,train
3014,-59.74895797940131,0,0.0,train
3018,-60.38685305756329,0,0.0,train
3021,-49.06002899125219,0,0.0,train
3025,-49.138967091922254,0,0.0,train
3030,-38.80138886347519,0,0.0,train
3033,-36.95137316035543,0,0.0,train
3037,-49.464735906098646,0,0.0,train
3041,-49.40795301535423,0,0.0,train
3044,-40.623015376876175,0,0.0,train
3051,-34.19500894451015,0,0.0,train
3054,-59.529129196303884,0,0.0,train
3060,-40.70763231196169,0,0.0,train
3064,-50.976478810711235,0,0.0,train
3069,-38.94545547272437,0,0.0,train
3084,-40.16545475996024,0,0.0,train
3088,-86.80532746330275,0,0.0,train
3098,-11.768393156337243,0,0.0,train
3103,-86.62803840632938,0,0.0,train
3118,18.320962971201077,0,0.0,train
3123,-130.9311197352257,0,0.0,train
3129,-51.48247286913836,0,0.0,train
3137,-57.15039090085245,0,0.0,train
3141,-92.87479512083267,0,0.0,train
3146,-56.20832808534251,0,0.0,train
3151,-61.31280807960684,0,0.0,train
3155,-77.5110629137267,0,0.0,train
3161,-54.94264131458401,0,0.0,train
3171,-17.529432579546686,0,0.0,train
3175,-104.15321270504325,0,0.0,train
3181,-42.78088286683006,0,0.0,train
3187,-72.30452125071093,0,0.0,train
3194,-57.72675918442354,0,0.0,train
3202,-61.21720906270972,0,0.0,train
3207,-68.36209765815697,0,0.0,train
3211,-70.18980775567915,0,0.0,train
3217,-35.52475619690872,0,0.0,train
3222,-77.06555308092658,0,0.0,train
